Date,Close,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
1/25/2018,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529,0.790420132
1/26/2018,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191,0.8178529
1/29/2018,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594,0.756831191
1/30/2018,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106,0.735500594
1/31/2018,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703,0.789502106
2/1/2018,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801,0.846527703
2/2/2018,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613,0.921481801
2/5/2018,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629,0.986175613
2/6/2018,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718,0.951020629
2/7/2018,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1,0.954206718
2/8/2018,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209,1
2/9/2018,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834,0.900313209
2/12/2018,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985,0.958364834
2/13/2018,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313,0.999459985
2/14/2018,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703,0.939734313
2/15/2018,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782,0.82249703
2/16/2018,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466,0.742196782
2/20/2018,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172,0.802354466
2/21/2018,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266,0.756129172
2/22/2018,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462,0.688087266
2/23/2018,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219,0.659358462
2/26/2018,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792,0.650664219
2/27/2018,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401,0.671130792
2/28/2018,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881,0.764337401
3/1/2018,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924,0.781455881
3/2/2018,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765,0.75855924
3/5/2018,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377,0.741602765
3/6/2018,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586,0.77751377
3/7/2018,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515,0.770925586
3/8/2018,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626,0.732692515
3/9/2018,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626
3/12/2018,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307
3/13/2018,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602
3/14/2018,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894
3/15/2018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085
3/16/2018,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794
3/19/2018,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674
3/20/2018,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809
3/21/2018,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176
3/22/2018,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714
3/23/2018,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735
3/26/2018,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516
3/27/2018,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959
3/28/2018,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018
3/29/2018,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804
4/3/2018,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759
4/4/2018,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093
4/5/2018,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025
4/10/2018,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756
4/11/2018,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941
4/12/2018,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092
4/13/2018,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524
4/16/2018,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966
4/17/2018,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808
4/18/2018,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063
4/19/2018,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087
4/20/2018,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508
4/23/2018,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481
4/24/2018,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834
4/25/2018,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567
4/26/2018,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072
4/27/2018,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525
4/30/2018,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317
5/2/2018,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228
5/3/2018,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674
5/4/2018,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756
5/7/2018,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589
5/8/2018,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836
5/9/2018,0.633491738,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328
