Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
1,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307,0.736634626
0,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602,0.725240307
0,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894,0.700075602
0,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085,0.603358894
0,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794,0.503024085
0,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674,0.528350794
0,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809,0.524084674
0,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176,0.600334809
0,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714,0.649152176
0,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735,0.704071714
1,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516,0.69105735
1,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959,0.661302516
0,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018,0.62819959
0,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804,0.607787018
0,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759,0.57284804
1,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093,0.562803759
1,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025,0.53321093
1,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756,0.465169025
0,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941,0.455556756
1,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092,0.47893941
1,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524,0.503294092
1,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966,0.482989524
1,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808,0.427367966
1,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063,0.421697808
1,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087,0.430824063
0,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508,0.538827087
0,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481,0.589588508
0,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834,0.52894481
0,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567,0.565503834
1,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072,0.591694567
1,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525,0.645426072
1,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317,0.7321525
0,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228,0.761313317
0,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674,0.79571228
0,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756,0.774057674
0,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589,0.741278756
1,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836,0.735338589
1,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328,0.672696836
0,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363,0.725996328
